"id","remarks","created","last_modified","collection_id"
"85b096f9-12fb-4ff7-8966-a93072d78b70","1 line index","2018-02-07 16:09:59.170261+00","2018-11-14 21:10:08.998193+00","979a1cac-0e5f-46d9-af2a-1ace2807c003"
"b9d06b91-da69-4b41-9d57-9d9fe526ebd8","1 line index","2018-02-07 16:09:34.707428+00","2018-11-14 22:57:28.934016+00","48eeaccd-d3af-492d-9504-eda7f5f28e79"
"6b630875-d5ad-471f-a331-65e4ed0e772d","No line index

1 line index for Guadalupe Co.","2018-02-07 16:09:53.461522+00","2018-11-16 20:10:21.092173+00","003ebff6-5805-40ee-b5a2-2edf19473546"
"fa3de873-b60c-4362-b0c1-cffb69a6387c","1 line index for Hardin Co.","2018-02-07 16:11:28.065412+00","2018-11-16 20:30:50.285599+00","0cef28fb-7c9b-4e52-b6c9-01bde5cecf83"
"cee86fd2-8d6d-488e-b94b-879ca2840f40","has line index","2018-02-07 16:11:09.640159+00","2018-11-28 22:56:37.454776+00","370cb199-8795-4b2a-8869-2a51c773dab8"
"74a48c20-4b20-4c29-9bdd-87198fd4c133","no line index","2018-02-07 16:12:19.526632+00","2018-11-29 15:57:34.932082+00","89aa5447-e3c0-43ec-8598-4ac5eacbac31"
"e9958acf-3aab-4799-b1a7-051aed193e41","1 line index","2018-02-07 16:07:43.915518+00","2018-11-30 20:50:37.466344+00","a38808f6-3959-4098-9257-9328623f5fd4"
"196df4c0-e0bf-4cbc-8665-9b3b019f2531","Line index for Lubbock 1978","2018-02-07 16:09:57.687362+00","2018-12-18 20:59:10.721297+00","adaf1823-1086-40c6-b570-eb6f18a863e3"
"416e0dc9-0ec1-4990-94c4-d008c55adfca","2 line indexes for Nueces 1979","2018-02-07 16:10:52.247013+00","2018-12-19 14:46:25.9933+00","52a62bc6-68b7-437b-afe5-6f5ea879c87b"
"cc38544f-3d2f-4653-b087-9df6bf507d6a","1 line index","2018-02-07 16:09:13.681171+00","2018-12-19 15:11:42.631059+00","9a7d220f-3f58-436f-a7c2-17198af42665"
"f68f00d1-e96c-4912-a627-8e16a0111ec5","","2018-02-07 16:13:10.875304+00","2018-02-07 16:13:10.875271+00","f42a83b2-8dd7-4375-aa52-a37ae3f47084"
"3b5f4eae-cfb4-4e07-952d-ba5713c56c22","1 line index for Mills 1938","2018-02-07 16:16:40.659798+00","2018-12-19 21:05:28.499619+00","d7cb54a7-2573-4025-9e25-2331ab2754ad"
"3f6810d9-5d55-4918-9342-b424f46e88ee","1 line index for Montgomery 1979","2018-02-07 16:15:10.556338+00","2018-12-19 21:32:39.253472+00","857021d9-c602-49c8-9e99-e94379492dea"
"0e7a1d7a-9547-4028-bdc8-c03b9033b786","1 line index","2018-02-07 16:13:39.429378+00","2018-12-19 21:36:38.868268+00","71542393-095f-4915-96e1-571f1ab3be34"
"58602b8e-c523-4985-a45c-14b905721214","1 line index for Tyler 1941","2018-02-07 16:17:36.139662+00","2018-12-20 13:36:42.263748+00","62ce9438-dda3-4bce-b8df-7922f7c794ed"
"097f92f6-1e90-4d72-b1b2-90b706e8e689","1 line index for Upshur 1939","2018-02-07 16:17:33.186266+00","2018-12-20 13:42:25.850366+00","0d639d80-45ea-4a48-bbac-61bfe4a01389"
"8beac97b-b0c8-47d7-a171-fd900c551059","","2018-02-07 16:13:46.842753+00","2018-02-07 16:13:46.842729+00","ac235c90-5901-4e28-af63-3af7c763d51d"
"3e904020-00e0-4911-b1c2-69b6d4c491b2","1 line index for Van Zandt 1940","2018-02-07 16:15:34.515063+00","2018-12-20 14:17:43.320886+00","707f5411-db13-4c4c-9861-418ba6f46892"
"e0f77e1c-44a6-4025-a8e1-ec3d72a69af3","1 line index for Victoria 1958","2018-02-07 16:16:23.365535+00","2018-12-20 14:29:17.656737+00","60e45fb1-32ac-4840-9fea-75beec91f12b"
