"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","mosaic_service_url","ls4_link"
"cdcee7ea-6240-4fc0-ad4d-3093c4721a2f","CRG-1957","1957-12-13","1957-12-13",t,"","2018-02-07 16:19:46.873318+00","2018-11-30 20:12:49.665504+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"0ed83262-6666-4a68-93b4-caff08551ccf","CUT-1951","1951-02-10","1951-05-04",t,"","2018-02-07 16:19:34.537604+00","2018-12-20 14:53:15.429535+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"a0eb48d6-51bf-441d-9d71-db90c7872189","CKX-1961","1961-01-09","1961-01-30",t,"","2018-02-07 16:19:45.926652+00","2018-11-10 15:04:31.811823+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"158ab8ab-5539-4f8d-9963-7ff18aa7c3c4","CVF-1972","1972-01-25","1972-02-07",t,"","2018-02-07 16:19:39.106227+00","2018-12-19 20:09:40.652431+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"9d442116-b708-44a4-a5cc-450145949d06","CKM-1950","1950-01-04","1951-01-04",t,"None
PHOTO INDEX","2018-02-07 16:19:29.809566+00","2018-12-19 20:50:47.968498+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"229283d5-6e27-418a-a75c-0a17a174dab2","EKF-1944","1944-11-28","1944-11-28",t,"Photo index only","2018-09-04 18:24:25.763981+00","2018-11-28 21:29:21.687404+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"9ec16f77-9ff2-4b8e-859e-104d19a61a23","BRH-1954","1954-04-30","1954-04-30",t,"None
PHOTO INDEX","2018-02-07 16:19:34.214226+00","2018-09-06 19:37:31.671501+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"eb0b2d8f-9463-46e7-b396-addf39c67603","DAR-1962","1962-01-18","1962-01-18",t,"None
PHOTO INDEX","2018-02-07 16:19:53.878612+00","2018-09-06 16:40:55.657444+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"7627074f-1631-4257-ae06-fc59c0440c4d","BRH-1974","1974-01-29","1974-01-29",t,"None
PHOTO INDEX","2018-02-07 16:19:30.491892+00","2018-09-06 19:38:52.418809+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"3bfa1b00-93a6-48c7-a033-97ba85259872","CGX-1957","1957-10-24","1958-03-15",t,"","2018-02-07 16:19:57.246962+00","2019-01-02 17:34:47.642716+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"ff1a24fc-5d60-4396-a697-19b03d30a330","CGD-1968","1968-11-18","1968-11-20",t,"","2018-02-07 16:19:49.829112+00","2018-12-20 13:59:08.24856+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"752f3c5a-55a6-4a2c-9387-d6bceabd8819","Monahans","1968-09-16","1968-09-16",t,"","2018-12-20 15:24:57.285743+00","2018-12-20 15:25:22.231952+00","69959c48-256d-4320-89e6-31f27d017c35","","","",""
"1d88fb9e-4d33-42b7-9c4c-7c8d60d2afa7","CRN-1959","1959-04-19","1959-04-19",t,"","2018-02-07 16:19:35.428974+00","2018-11-13 16:48:55.724884+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"2ba6262a-de3e-446d-bbfe-2861db75e429","DAF-1965","1965-11-12","1965-11-12",t,"","2018-02-07 16:19:45.439051+00","2018-12-12 16:30:33.215829+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
