zipped_by_area_type_id,zipped_by_area_type,zipped_by_area_type_name,created,last_modified,orig_data_download_id
bb5af605-c43d-45c1-8f24-85784afbdd7c,qquad,Mount Pleasant|NW,2018-07-03 07:58:54.676393,2018-07-03 07:58:54.676394,15644
f85be381-d7fd-470c-b7c6-dbecd88ecdf8,qquad,Mount Pleasant|NE,2018-07-03 07:58:54.676448,2018-07-03 07:58:54.676449,15645
7767b007-53cf-460b-aecf-0edd5cc86ed3,qquad,Mount Pleasant|SW,2018-07-03 07:58:54.676482,2018-07-03 07:58:54.676483,15646
432bb451-d217-499c-9d1b-788702fd3a29,qquad,Mount Pleasant|SE,2018-07-03 07:58:54.676511,2018-07-03 07:58:54.676525,15647
ecac6a7c-892f-42f7-acaa-544c68a89166,qquad,Mount Selman|SE,2018-07-03 07:58:54.676555,2018-07-03 07:58:54.676556,15648
d688d66c-15b8-42ea-8b07-4ea4d8eb8997,qquad,Mount Selman|NW,2018-07-03 07:58:54.676585,2018-07-03 07:58:54.676586,15649
3e6c6ea1-6999-462f-bbea-7e5862b0b8ed,qquad,Mount Selman|NE,2018-07-03 07:58:54.676615,2018-07-03 07:58:54.676616,15650
fffd2ee9-16a8-41b9-883e-6c3c5b67583c,qquad,Mount Selman|SW,2018-07-03 07:58:54.676644,2018-07-03 07:58:54.676645,15651
0dc970d4-29c7-458a-8587-4f933580977e,qquad,Mount Sylvan|NE,2018-07-03 07:58:54.676671,2018-07-03 07:58:54.676672,15652
e1f2ec0d-5535-4ed2-bd17-0c6ecb23c312,qquad,Mount Sylvan|NW,2018-07-03 07:58:54.676741,2018-07-03 07:58:54.676742,15653
de39ea29-36ed-48e6-95ff-89611b756fc7,qquad,Mount Sylvan|SW,2018-07-03 07:58:54.676770,2018-07-03 07:58:54.676771,15654
5660bc50-2bc6-4cd5-86d9-b48ca30a50f3,qquad,Mount Sylvan|SE,2018-07-03 07:58:54.676799,2018-07-03 07:58:54.676800,15655
cb0843de-9066-49ed-b466-80f32278e577,qquad,Mount Vernon|NW,2018-07-03 07:58:54.676827,2018-07-03 07:58:54.676828,15656
9396c0ad-8e2e-4667-9aad-aa3b9d00ac97,qquad,Mount Vernon|NE,2018-07-03 07:58:54.676880,2018-07-03 07:58:54.676881,15657
0a7d3426-d68d-4bf4-b8f1-4305e0d84d5b,qquad,Mount Vernon|SW,2018-07-03 07:58:54.676938,2018-07-03 07:58:54.676938,15658
bc8a2498-860a-416f-8665-c3860765f49b,qquad,Mount Vernon|SE,2018-07-03 07:58:54.676981,2018-07-03 07:58:54.676982,15659
add2efb8-cb6a-4bc2-b489-ecc8942531db,qquad,Mountain City|SW,2018-07-03 07:58:54.677099,2018-07-03 07:58:54.677100,15660
c72bc97f-ebb5-4850-aaa8-ed6fbfc813fe,qquad,Mountain City|SE,2018-07-03 07:58:54.677129,2018-07-03 07:58:54.677130,15661
2e5ea564-5b57-451e-a2be-52a5764bbfaa,qquad,Mountain City|NW,2018-07-03 07:58:54.677157,2018-07-03 07:58:54.677158,15662
073481c7-b8a2-4fad-bd52-e96fea4b84fb,qquad,Mountain City|NE,2018-07-03 07:58:54.677186,2018-07-03 07:58:54.677187,15663
cc7deff2-7210-487e-abb5-523b45f3b1e1,qquad,Mountain Home|NE,2018-07-03 07:58:54.677216,2018-07-03 07:58:54.677217,15664
955fcd73-5a64-4860-8711-41376c774dcb,qquad,Mountain Home|SE,2018-07-03 07:58:54.677261,2018-07-03 07:58:54.677262,15665
50d7e48a-a2a2-433e-a678-3138af4bcf69,qquad,Mountain Home|NW,2018-07-03 07:58:54.677290,2018-07-03 07:58:54.677291,15666
767373e7-bc59-435e-a1f2-d1d3c57d6899,qquad,Mountain Home|SW,2018-07-03 07:58:54.677318,2018-07-03 07:58:54.677319,15667
03a048c0-8211-4460-9ceb-10c762db096f,qquad,Mountain Pass|NW,2018-07-03 07:58:54.677380,2018-07-03 07:58:54.677381,15668
3d4c9a76-b66a-46dc-8400-5edd996bffb5,qquad,Mountain Pass|NE,2018-07-03 07:58:54.677410,2018-07-03 07:58:54.677411,15669
43f8c44f-8a51-427a-a299-41c126fb1666,qquad,Mountain Pass|SW,2018-07-03 07:58:54.677439,2018-07-03 07:58:54.677440,15670
a81114f8-23a5-4da1-959b-526b7161afe2,qquad,Mountain Pass|SE,2018-07-03 07:58:54.677469,2018-07-03 07:58:54.677470,15671
9dfed1af-75c9-4165-90d0-b89018fc8590,qquad,Mountain Springs|NW,2018-07-03 07:58:54.677497,2018-07-03 07:58:54.677498,15672
81bcd54c-86c0-4c42-82a6-c3a90d8f27f5,qquad,Mountain Springs|NE,2018-07-03 07:58:54.677526,2018-07-03 07:58:54.677527,15673
2cdbd564-5e7f-4f48-8033-f816eeaa43cf,qquad,Mountain Springs|SW,2018-07-03 07:58:54.677555,2018-07-03 07:58:54.677556,15674
7af97c22-0a8d-4d48-9fcc-2e17c050c353,qquad,Mountain Springs|SE,2018-07-03 07:58:54.677584,2018-07-03 07:58:54.677585,15675
156df980-9db5-4755-9a72-b4adbfa6e0aa,qquad,Mountain Tank|SE,2018-07-03 07:58:54.677614,2018-07-03 07:58:54.677615,15678
fa39a7dd-a774-43ac-a8fe-a936e2431ee8,qquad,Mountain Tank|SW,2018-07-03 07:58:54.677655,2018-07-03 07:58:54.677656,15679
b2631c06-c164-42f3-a64c-20295f1eda46,qquad,Mouth of Rio Grande|NE,2018-07-03 07:58:54.677711,2018-07-03 07:58:54.677712,15680
b94841e3-d421-4b58-b71d-b66ca71d5d2d,qquad,Mouth of Rio Grande|NW,2018-07-03 07:58:54.677767,2018-07-03 07:58:54.677768,15681
cedb6a61-2a02-4396-b6d6-f0afc070b26a,qquad,Mouth of Rio Grande|SE,2018-07-03 07:58:54.677797,2018-07-03 07:58:54.677798,15682
86bcc77f-917c-4f79-8068-f3ded8129f39,qquad,Mouth of Rio Grande|SW,2018-07-03 07:58:54.677854,2018-07-03 07:58:54.677855,15683
1bf75668-dc04-4231-baf7-d66847d7c14d,qquad,Movie Mountain|NW,2018-07-03 07:58:54.677881,2018-07-03 07:58:54.677882,15684
7c10da77-9db9-49f1-8657-24ecd58154d4,qquad,Movie Mountain|NE,2018-07-03 07:58:54.677911,2018-07-03 07:58:54.677925,15685
dbea698d-334c-415d-8443-cc87ff0eb880,qquad,Movie Mountain|SW,2018-07-03 07:58:54.677954,2018-07-03 07:58:54.677954,15686
